continent,country,year,pop,lifeExp,gdpPercap
MAHARASHTRA,MAHARASHTRA,2020,112372972,82.91,182.3409992218
MAHARASHTRA,MAHARASHTRA,2021,113922406.5,83.511,177.9281233846
MAHARASHTRA,MAHARASHTRA,2022,115471841,84.112,202.9802226848
MAHARASHTRA,MAHARASHTRA,2023,117021275.5,84.713,213.49451109
MAHARASHTRA,MAHARASHTRA,2024,118570710,85.314,232.2782751322
ANDHRA PRADESH,ANDHRA PRADESH,2010,76210007,60.5,170.6980554404
ANDHRA PRADESH,ANDHRA PRADESH,2011,77055559.6,61.216,186.3720161731
ANDHRA PRADESH,ANDHRA PRADESH,2012,77901112.2,61.932,201.4746587918
ANDHRA PRADESH,ANDHRA PRADESH,2013,78746664.8,62.648,201.6034588934
ANDHRA PRADESH,ANDHRA PRADESH,2014,79592217.4,63.364,197.4100045616
ANDHRA PRADESH,ANDHRA PRADESH,2015,80437770,64.08,216.203159287
ANDHRA PRADESH,ANDHRA PRADESH,2016,81283322.6,64.796,215.4033501578
ANDHRA PRADESH,ANDHRA PRADESH,2017,82128875.2,65.512,218.2849814556
ANDHRA PRADESH,ANDHRA PRADESH,2018,82974427.8,66.228,217.4657961305
ANDHRA PRADESH,ANDHRA PRADESH,2019,83819980.4,66.944,216.4615156603
ANDHRA PRADESH,ANDHRA PRADESH,2020,84665533,67.66,224.1526076497
ANDHRA PRADESH,ANDHRA PRADESH,2021,85511085.6,68.376,225.142738686
ANDHRA PRADESH,ANDHRA PRADESH,2022,86356638.2,69.092,252.458878141
ANDHRA PRADESH,ANDHRA PRADESH,2023,87202190.8,69.808,253.9316936519
ANDHRA PRADESH,ANDHRA PRADESH,2024,88047743.4,70.524,246.4288028533
KARNATAKA,KARNATAKA,2010,52850562,66.6,206.4273223812
KARNATAKA,KARNATAKA,2011,53678576.2,67.5,211.8144854967
KARNATAKA,KARNATAKA,2012,54506590.4,68.4,206.222768981
KARNATAKA,KARNATAKA,2013,55334604.6,69.3,206.814525607
KARNATAKA,KARNATAKA,2014,56162618.8,70.2,209.3563343595
KARNATAKA,KARNATAKA,2015,56990633,71.1,206.5427137825
KARNATAKA,KARNATAKA,2016,57818647.2,72,208.5936040371
KARNATAKA,KARNATAKA,2017,58646661.4,72.9,217.4718849384
KARNATAKA,KARNATAKA,2018,59474675.6,73.8,225.376597094
KARNATAKA,KARNATAKA,2019,60302689.8,74.7,236.0126894373
KARNATAKA,KARNATAKA,2020,61130704,75.6,225.0914695829
KARNATAKA,KARNATAKA,2021,61958718.2,76.5,216.3069280539
KARNATAKA,KARNATAKA,2022,62786732.4,77.4,217.7036370187
KARNATAKA,KARNATAKA,2023,63614746.6,78.3,215.89019424
KARNATAKA,KARNATAKA,2024,64442760.8,79.2,213.1162574276
GOA,GOA,2010,1347668,82,173.7074709795
GOA,GOA,2011,1358673.5,82.54,179.5869279853
GOA,GOA,2012,1369679,83.08,163.8340078223
GOA,GOA,2013,1380684.5,83.62,154.0540217552
GOA,GOA,2014,1391690,84.16,152.2609201762
GOA,GOA,2015,1402695.5,84.7,157.1260476704
GOA,GOA,2016,1413701,85.24,175.355326197
GOA,GOA,2017,1424706.5,85.78,192.4606927813
GOA,GOA,2018,1435712,86.32,209.3038158071
GOA,GOA,2019,1446717.5,86.86,227.618729987
GOA,GOA,2020,1457723,87.4,236.601878409
GOA,GOA,2021,1468728.5,87.94,245.6546597959
GOA,GOA,2022,1479734,88.48,291.4037252641
GOA,GOA,2023,1490739.5,89.02,299.5828580379
GOA,GOA,2024,1501745,89.56,204.6952045787
LAKSHADWEEP,LAKSHADWEEP,2010,60650,86.7,59.3569661995
LAKSHADWEEP,LAKSHADWEEP,2011,61027.9,87.258,86.8455247518
LAKSHADWEEP,LAKSHADWEEP,2012,61405.8,87.816,50.4838305176
LAKSHADWEEP,LAKSHADWEEP,2013,61783.7,88.374,113.2984913497
LAKSHADWEEP,LAKSHADWEEP,2014,62161.6,88.932,67.5658284214
LAKSHADWEEP,LAKSHADWEEP,2015,62539.5,89.49,127.919155094
LAKSHADWEEP,LAKSHADWEEP,2016,62917.4,90.048,89.0055851005
LAKSHADWEEP,LAKSHADWEEP,2017,63295.3,90.606,150.0901330747
LAKSHADWEEP,LAKSHADWEEP,2018,63673.2,91.164,210.4496083124
LAKSHADWEEP,LAKSHADWEEP,2019,64051.1,91.722,65.5726443418
LAKSHADWEEP,LAKSHADWEEP,2020,64429,92.28,68.2922286548
LAKSHADWEEP,LAKSHADWEEP,2021,64806.9,92.838,92.5827342459
LAKSHADWEEP,LAKSHADWEEP,2022,65184.8,93.396,61.3639989691
LAKSHADWEEP,LAKSHADWEEP,2023,65562.7,93.954,123.5458576294
LAKSHADWEEP,LAKSHADWEEP,2024,65940.6,94.512,122.8378267714
KERALA,KERALA,2010,31841374,90.9,326.1385642466
KERALA,KERALA,2011,31996004.3,91.201,325.6656644467
KERALA,KERALA,2012,32150634.6,91.502,307.3780696074
KERALA,KERALA,2013,32305264.9,91.803,322.0063364966
KERALA,KERALA,2014,32459895.2,92.104,321.4736195451
KERALA,KERALA,2015,32614525.5,92.405,322.7243027037
KERALA,KERALA,2016,32769155.8,92.706,331.1955933879
KERALA,KERALA,2017,32923786.1,93.007,335.988089778
KERALA,KERALA,2018,33078416.4,93.308,357.8436118846
KERALA,KERALA,2019,33233046.7,93.609,446.2816826241
KERALA,KERALA,2020,33387677,93.91,515.5704603228
KERALA,KERALA,2021,33542307.3,94.211,473.9954189138
KERALA,KERALA,2022,33696937.6,94.512,523.2938437705
KERALA,KERALA,2023,33851567.9,94.813,610.8697848527
KERALA,KERALA,2024,34006198.2,95.114,755.9621880931
TAMIL NADU,TAMIL NADU,2010,62405679,73.5,248.0559501644
TAMIL NADU,TAMIL NADU,2011,63379006.9,74.183,263.4026756894
TAMIL NADU,TAMIL NADU,2012,64352334.8,74.866,244.2584258808
TAMIL NADU,TAMIL NADU,2013,65325662.7,75.549,255.0391272188
TAMIL NADU,TAMIL NADU,2014,66298990.6,76.232,244.8906062229
TAMIL NADU,TAMIL NADU,2015,67272318.5,76.915,221.4462104498
TAMIL NADU,TAMIL NADU,2016,68245646.4,77.598,253.1355611865
TAMIL NADU,TAMIL NADU,2017,69218974.3,78.281,255.4689690049
TAMIL NADU,TAMIL NADU,2018,70192302.2,78.964,248.8748687887
TAMIL NADU,TAMIL NADU,2019,71165630.1,79.647,260.9096550387
TAMIL NADU,TAMIL NADU,2020,72138958,80.33,267.3714804697
TAMIL NADU,TAMIL NADU,2021,73112285.9,81.013,274.2001532741
TAMIL NADU,TAMIL NADU,2022,74085613.8,81.696,274.7888416631
TAMIL NADU,TAMIL NADU,2023,75058941.7,82.379,257.3977138822
TAMIL NADU,TAMIL NADU,2024,76032269.6,83.062,246.6821008852
PUDUCHERRY,PUDUCHERRY,2010,974345,81.2,417.5112511482
PUDUCHERRY,PUDUCHERRY,2011,1001356.9,81.735,443.0987592935
PUDUCHERRY,PUDUCHERRY,2012,1028368.8,82.27,439.2393079214
PUDUCHERRY,PUDUCHERRY,2013,1055380.7,82.805,437.75672608
PUDUCHERRY,PUDUCHERRY,2014,1082392.6,83.34,422.6747300379
PUDUCHERRY,PUDUCHERRY,2015,1109404.5,83.875,422.4789064764
PUDUCHERRY,PUDUCHERRY,2016,1136416.4,84.41,444.7313502339
PUDUCHERRY,PUDUCHERRY,2017,1163428.3,84.945,428.8188623227
PUDUCHERRY,PUDUCHERRY,2018,1190440.2,85.48,385.6556591419
PUDUCHERRY,PUDUCHERRY,2019,1217452.1,86.015,323.2160016809
PUDUCHERRY,PUDUCHERRY,2020,1244464,86.55,350.5123490917
PUDUCHERRY,PUDUCHERRY,2021,1271475.9,87.085,336.6953317794
PUDUCHERRY,PUDUCHERRY,2022,1298487.8,87.62,289.2595525349
PUDUCHERRY,PUDUCHERRY,2023,1325499.7,88.155,270.3885938262
PUDUCHERRY,PUDUCHERRY,2024,1352511.6,88.69,254.3416263491
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2010,356152,81.3,184.7525775512
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2011,358531.2,81.797,169.580778465
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2012,360910.4,82.294,178.4376399239
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2013,363289.6,82.791,205.8963427524
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2014,365668.8,83.288,186.5075718793
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2015,368048,83.785,183.6716949963
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2016,370427.2,84.282,217.8565720876
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2017,372806.4,84.779,236.5839213061
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2018,375185.6,85.276,250.8091995002
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2019,377564.8,85.773,259.5580943986
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2020,379944,86.27,208.7149685217
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2021,382323.2,86.767,178.6446650373
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2022,384702.4,87.264,159.0840088338
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2023,387081.6,87.761,192.7242214561
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2024,389460.8,88.258,191.5468771183
